Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,Other,175,8362,103,33,,247,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,Total - All Places of Death,1258,12371,1103,732,18,1646,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,"Healthcare setting, inpatient",916,4291,890,640,10,1176,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",45,764,26,13,,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,10,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,Decedent's home,192,5043,119,50,,265,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,Nursing home/long term care facility,77,1153,42,18,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,Other,28,1109,26,11,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,Total - All Places of Death,27224,183132,24321,16115,189,35606,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,"Healthcare setting, inpatient",19053,52841,18343,13294,133,24228,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",834,9722,594,309,,1124,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,"Healthcare setting, dead on arrival",,48,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,Decedent's home,2773,61835,2116,964,20,3944,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,Hospice facility,1347,13760,1179,491,20,2053,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,Nursing home/long term care facility,1593,16050,1021,555,,2063,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,Other,1618,28876,1065,500,,2187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,Total - All Places of Death,11128,89457,10123,5535,132,15835,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,"Healthcare setting, inpatient",7485,28186,7593,4492,81,10661,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",463,6599,371,145,13,702,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,"Healthcare setting, dead on arrival",14,182,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,Decedent's home,851,29160,662,218,25,1316,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,Hospice facility,464,7886,623,227,,865,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,Nursing home/long term care facility,1726,12449,781,424,,2088,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,Other,125,4995,86,26,0,185,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,Total - All Places of Death,94666,748430,94861,56462,903,133939,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,"Healthcare setting, inpatient",68809,247473,76517,48038,739,98006,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,"Healthcare setting, outpatient or emergency room",3572,42170,3025,1401,42,5235,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,"Healthcare setting, dead on arrival",25,259,21,11,0,35,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,Decedent's home,9741,283129,6803,2821,74,13795,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,Hospice facility,256,8424,361,115,,503,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,Nursing home/long term care facility,8413,81052,5416,2677,32,11182,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,Other,3849,85912,2717,1398,15,5182,
04/27/2022,01/01/2020,04/23/2022,By Total,,,California,Place of death unknown,,11,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,Total - All Places of Death,13191,110572,11489,7105,180,17746,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,"Healthcare setting, inpatient",7654,28862,7767,5421,95,10089,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",305,4315,252,121,,445,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,"Healthcare setting, dead on arrival",13,101,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,Decedent's home,1890,40323,1364,574,39,2718,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,Hospice facility,349,7759,526,182,,698,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,Nursing home/long term care facility,2712,22028,1377,728,29,3388,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,Other,268,7157,196,74,,393,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Colorado,Place of death unknown,0,27,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,Total - All Places of Death,10881,82854,7061,3607,103,14433,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,"Healthcare setting, inpatient",6545,29000,5534,3039,80,9116,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",376,5096,163,51,,490,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,"Healthcare setting, dead on arrival",19,576,,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,Decedent's home,587,24461,266,50,,808,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,Hospice facility,188,3035,141,75,0,254,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,Nursing home/long term care facility,2964,15922,881,365,15,3495,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,Other,201,4754,66,24,0,243,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Connecticut,Place of death unknown,,10,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,Total - All Places of Death,2905,25641,2512,1486,27,3957,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,"Healthcare setting, inpatient",1848,6986,1988,1257,18,2596,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",82,1476,76,31,,128,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,"Healthcare setting, dead on arrival",,24,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,Decedent's home,271,9600,162,71,,365,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,Hospice facility,139,2810,110,42,,211,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,Nursing home/long term care facility,545,3337,156,79,,623,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,Other,18,1405,20,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Delaware,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,Total - All Places of Death,1988,16487,2417,1563,12,2854,
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,"Healthcare setting, inpatient",1536,8515,2008,1270,11,2285,
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",83,979,70,56,0,97,
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,Decedent's home,161,4155,143,100,0,204,
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,Hospice facility,36,543,48,29,0,55,
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,Nursing home/long term care facility,145,1204,121,89,0,177,
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,Other,27,1089,27,19,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,Total - All Places of Death,69820,581459,73118,44302,626,99193,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,"Healthcare setting, inpatient",49696,178178,52783,35337,432,67520,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",2296,36428,1838,961,26,3199,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,"Healthcare setting, dead on arrival",30,463,14,10,0,34,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,Decedent's home,4310,164851,3965,1593,52,6731,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,Hospice facility,7653,100237,9752,4142,90,13345,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,Nursing home/long term care facility,3195,46198,2191,906,10,4488,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,Other,2640,55099,2575,1353,16,3876,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,Total - All Places of Death,32302,245172,26886,17246,289,42201,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,"Healthcare setting, inpatient",23231,78928,21160,14630,203,29942,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",1676,22566,965,469,25,2194,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,"Healthcare setting, dead on arrival",60,1867,31,12,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,Decedent's home,2681,81245,1556,677,32,3588,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,Hospice facility,1359,16982,1498,591,15,2281,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,Nursing home/long term care facility,2874,28887,1467,766,10,3584,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,Other,421,14672,209,101,,532,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Georgia,Place of death unknown,0,25,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,Total - All Places of Death,1372,28664,2233,747,28,2885,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,"Healthcare setting, inpatient",981,7862,1567,657,20,1910,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",89,2116,96,26,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,"Healthcare setting, dead on arrival",26,1180,30,,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,Decedent's home,166,10636,256,42,,381,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,Hospice facility,,1363,65,,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,Nursing home/long term care facility,63,2390,131,,,190,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,Other,39,3117,88,,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,Total - All Places of Death,4974,39815,3899,2597,54,6325,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,"Healthcare setting, inpatient",2968,9991,2709,1965,28,3737,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",106,1343,79,35,,153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,35,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,Decedent's home,781,16490,505,275,15,1024,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,Hospice facility,150,1490,144,80,,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,Nursing home/long term care facility,909,8346,422,225,,1112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,Other,60,2120,40,17,,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,Total - All Places of Death,34209,287742,31275,18244,262,47490,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,"Healthcare setting, inpatient",22896,90809,24054,15177,169,31930,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",1371,20256,953,447,13,1890,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,"Healthcare setting, dead on arrival",29,681,10,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,Decedent's home,2849,95996,2147,767,30,4259,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,Hospice facility,744,11123,881,388,10,1247,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,Nursing home/long term care facility,5494,49120,2764,1278,36,7016,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,Other,826,19757,466,180,,1116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Illinois,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,Total - All Places of Death,23606,179296,21414,12729,242,32516,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,"Healthcare setting, inpatient",14662,57060,16012,10371,170,20459,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",523,7528,399,189,,742,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,"Healthcare setting, dead on arrival",,156,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,Decedent's home,2077,59480,1698,682,22,3113,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,Hospice facility,349,6340,583,229,,711,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,Nursing home/long term care facility,5655,39320,2471,1142,29,7012,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,Other,334,9391,248,115,,471,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,Total - All Places of Death,9539,79615,7387,3668,152,13402,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,"Healthcare setting, inpatient",5082,21604,4785,2745,78,7193,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",260,3918,171,66,,369,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,"Healthcare setting, dead on arrival",,95,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,Decedent's home,771,22309,598,168,17,1218,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,Hospice facility,261,6369,481,86,15,670,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,Nursing home/long term care facility,3063,22438,1285,579,37,3806,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,Other,97,2881,62,21,0,138,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,Total - All Places of Death,8892,72097,7229,4079,172,12206,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,"Healthcare setting, inpatient",5491,21236,5135,3220,104,7503,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",246,2962,187,84,,354,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,"Healthcare setting, dead on arrival",,68,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,Decedent's home,813,22558,591,223,25,1205,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,Hospice facility,161,3415,280,66,13,388,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,Nursing home/long term care facility,2060,18085,952,457,25,2580,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,Other,120,3773,84,29,0,175,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,Total - All Places of Death,16501,132062,17109,8983,183,24793,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,"Healthcare setting, inpatient",11383,46397,13678,7718,124,17452,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",621,9851,438,182,,886,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,187,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,Decedent's home,1611,42782,1229,464,29,2404,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,Hospice facility,574,9441,637,178,15,1048,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,Nursing home/long term care facility,2147,17231,1014,391,,2774,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,Other,161,6162,110,48,0,223,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Kentucky,Place of death unknown,,11,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,Total - All Places of Death,15814,128085,12767,8254,133,20446,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,"Healthcare setting, inpatient",11626,40537,9795,6773,95,14732,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",727,8479,571,300,,1005,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,96,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,Decedent's home,1399,46942,946,415,22,1950,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,Hospice facility,409,6216,364,198,,580,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,Nursing home/long term care facility,1467,17506,955,514,,1910,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,Other,183,8309,133,53,,264,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,Total - All Places of Death,2453,37920,2696,683,41,4507,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,"Healthcare setting, inpatient",1368,8960,1709,541,26,2562,
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",63,1207,65,10,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,"Healthcare setting, dead on arrival",,17,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,Decedent's home,241,14175,325,43,,527,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,Hospice facility,63,3786,160,17,,208,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,Nursing home/long term care facility,686,7661,407,69,,1029,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,By Total,,,Maine,Other,28,2097,29,,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
